lease_car_model;lease_car_registration;lease_car_segment;lease_created_at;lease_created_by_user_id;lease_customer_cpr;lease_customer_email;lease_customer_name;lease_customer_phone;lease_end_date;lease_id;lease_monthly_price;lease_rki_checked_at;lease_rki_score;lease_rki_status;lease_start_date;lease_status;lease_updated_at;lease_vehicle_id;vehicle_contract_km;vehicle_current_lease_id;vehicle_delivery_location;vehicle_fuel_type;vehicle_id;vehicle_model_name;vehicle_monthly_price;vehicle_odometer_start;vehicle_purchase_date;vehicle_purchase_price;vehicle_status;vehicle_subscription_end;vehicle_subscription_km;vehicle_subscription_months;vehicle_subscription_start;vehicle_subscription_years;vehicle_updated_at;reservation_actual_pickup_at;reservation_created_at;reservation_id;reservation_lease_id;reservation_pickup_date;reservation_pickup_location;reservation_status;reservation_updated_at;damage_category;damage_created_by_user_id;damage_description;damage_detected_at;damage_estimated_cost;damage_id;damage_lease_id;damage_status;damage_vehicle_id
Hyundai;;;2025-12-09T16:54:14.945255;;4314141414;aaa@aaa.com;John Doe;12121212;2027-12-09;2;7689.0;;;PENDING;2025-12-09;ACTIVE;2025-12-09T16:54:15.002174;11;18000;2;Kolding;Diesel;11;Hyundai;7689.0;10153;14. juli 2022;711984.0;DAMAGED;14. juli 2023;15489;12;14. juli 2022;1.0;2025-12-11T11:56:56.008354;;2025-12-11T12:00:39.767547;8;2;2025-12-24T10:00:00;Kolding;PENDING;2025-12-11T12:00:39.767547;alvorlig;;uheld;2025-12-09T19:58:01.159516;10000.0;1;2;OPEN;11
Tesla Model X;;;2025-12-11T11:48:00.106307;;1212601212;Johan@erB.dk;Johan Johansen;11223344;2026-11-18;16;8000.0;;;PENDING;2025-11-18;ACTIVE;2025-12-11T11:48:00.150006;29;54000;16;Aarhus;Elektrisk;29;Tesla Model X;8000.0;26553;2. januar 2021;1203433.0;DAMAGED;13. juni 2024;89755;36;13. juni 2021;3.0;2025-12-11T11:49:17.083683;2025-12-11T12:00:26.290760;2025-12-11T11:58:20.295914;3;16;2025-12-08T10:00:00;Aarhus;PICKED_UP;2025-12-11T12:00:26.290760;mellem;;Kørte ind i lygtepæl;2025-12-11T11:49:17.058791;4500.0;2;16;OPEN;29
BMW IX3 ;;;2025-12-11T11:45:49.710767;;1212601212;Ole@Ole.dk;Ole Olesen;11223344;2026-12-04;12;5300.0;;;PENDING;2025-12-04;ACTIVE;2025-12-11T11:45:49.743651;21;36000;12;Copenhagen;Elektrisk;21;BMW IX3 ;5300.0;33161;31. marts 2022;790000.0;DAMAGED;7. januar 2024;69161;24;7. januar 2022;2.0;2025-12-11T11:49:50.934701;;2025-12-11T11:59:28.912989;7;12;2025-12-13T15:00:00;Copenhagen;READY;2025-12-11T12:01:44.557424;kosmetisk;;Konen blev sur ;2025-12-11T11:49:50.911730;2500.0;3;12;OPEN;21
BMW;;;2025-12-11T11:44:33.919494;;;Jens@Jens.dk;Jens Jensen;11223344;2027-12-04;10;4831.0;;;SKIPPED;2025-12-04;ACTIVE;2025-12-11T11:44:33.965244;7;18000;10;Aarhus;hybrid;7;BMW;4831.0;21808;13. september 2023;289183.0;DAMAGED;13. september 2024;27395;12;13. september 2023;1.0;2025-12-11T11:51:01.951638;;2025-12-11T11:58:34.802194;4;10;2025-12-08T14:00:00;Aarhus;PENDING;2025-12-11T11:58:34.802194;kosmetisk;;Ridset lap på højre bagskærm;2025-12-11T11:51:01.925126;3500.0;4;10;OPEN;7
Volkswagen ID3;;;2025-12-11T11:38:58.751548;;0000000000;kunde1@mail.com;Mads Jensen;11223344;2026-12-15;3;4800.0;;;PENDING;2025-12-15;ACTIVE;2025-12-11T11:38:58.804687;17;36000;3;Aarhus;Elektrisk;17;Volkswagen ID3;4800.0;15530;19. april 2022;400000.0;DAMAGED;30. juli 2024;27355;24;30. juli 2022;2.0;2025-12-11T11:54:59.050024;;2025-12-11T12:01:10.731006;10;3;2025-12-12T12:30:00;Aarhus;READY;2025-12-11T12:01:37.674891;alvorlig;;Skade på forhjulsophæng efter kantstensuheld;2025-12-11T11:51:47.185697;11500.0;5;3;OPEN;17
Smart;;;2025-12-11T11:46:43.005149;;1212601212;Esben@erB.dk;Esben Esbensen;11223344;2028-12-07;13;5200.0;;;PENDING;2025-12-07;ACTIVE;2025-12-11T11:46:43.050123;20;36000;13;Copenhagen;Benzin;20;Smart;5200.0;31765;19. juni 2022;680000.0;DAMAGED;3. december 2024;77765;24;3. december 2022;2.0;2025-12-11T11:52:27.883523;;2025-12-11T11:59:00.147958;5;13;2025-12-17T18:00:00;Copenhagen;PENDING;2025-12-11T11:59:00.147958;alvorlig;;Bagendekollision, anhængertræk og kofanger ødelagt;2025-12-11T11:52:27.861360;24500.0;6;13;OPEN;20
Land Rover;;;2025-12-11T11:44:56.331129;;;Hans@Hans.dk;Hans Hansen;11223344;2026-12-04;11;6197.0;;;SKIPPED;2025-12-04;ACTIVE;2025-12-11T11:44:56.369736;10;18000;11;Aarhus;Benzin;10;Land Rover;6197.0;15260;2. juli 2023;1526336.0;DAMAGED;2. juli 2024;24406;12;2. juli 2023;1.0;2025-12-11T11:53:19.613611;;;;;;;;;kosmetisk;;Stenslag;2025-12-11T11:53:19.590562;1800.0;7;11;OPEN;10
Volkswagen ID3;;;2025-12-11T11:38:58.751548;;0000000000;kunde1@mail.com;Mads Jensen;11223344;2026-12-15;3;4800.0;;;PENDING;2025-12-15;ACTIVE;2025-12-11T11:38:58.804687;17;36000;3;Aarhus;Elektrisk;17;Volkswagen ID3;4800.0;15530;19. april 2022;400000.0;DAMAGED;30. juli 2024;27355;24;30. juli 2022;2.0;2025-12-11T11:54:59.050024;;2025-12-11T12:01:10.731006;10;3;2025-12-12T12:30:00;Aarhus;READY;2025-12-11T12:01:37.674891;mellem;;Dør sidder fast efter sammenstød;2025-12-11T11:54:59.027781;3500.0;8;3;OPEN;17
Hyundai;;;2025-12-09T16:54:14.945255;;4314141414;aaa@aaa.com;John Doe;12121212;2027-12-09;2;7689.0;;;PENDING;2025-12-09;ACTIVE;2025-12-09T16:54:15.002174;11;18000;2;Kolding;Diesel;11;Hyundai;7689.0;10153;14. juli 2022;711984.0;DAMAGED;14. juli 2023;15489;12;14. juli 2022;1.0;2025-12-11T11:56:56.008354;;2025-12-11T12:00:39.767547;8;2;2025-12-24T10:00:00;Kolding;PENDING;2025-12-11T12:00:39.767547;alvorlig;;Kørte ind i en mur;2025-12-11T11:56:10.284913;16500.0;9;2;OPEN;11
Hyundai;;;2025-12-09T16:54:14.945255;;4314141414;aaa@aaa.com;John Doe;12121212;2027-12-09;2;7689.0;;;PENDING;2025-12-09;ACTIVE;2025-12-09T16:54:15.002174;11;18000;2;Kolding;Diesel;11;Hyundai;7689.0;10153;14. juli 2022;711984.0;DAMAGED;14. juli 2023;15489;12;14. juli 2022;1.0;2025-12-11T11:56:56.008354;;2025-12-11T12:00:39.767547;8;2;2025-12-24T10:00:00;Kolding;PENDING;2025-12-11T12:00:39.767547;kosmetisk;;ridse i lakken;2025-12-11T11:56:55.988172;1600.0;10;2;OPEN;11
