id;customer_name;customer_cpr;customer_email;customer_phone;car_model;car_segment;car_registration;start_date;end_date;monthly_price;status;vehicle_id;rki_status;rki_score;rki_checked_at;created_by_user_id;created_at;updated_at
1;John;19191919191;Test@test.com;22334411;BMW;;13131313;2025-12-08;2025-12-18;22.0;ACTIVE;6;PENDING;;;;2025-12-08T16:23:17.504576;2025-12-08T16:23:17.555084
2;John Doe;4314141414;aaa@aaa.com;12121212;Hyundai;;;2025-12-09;2027-12-09;7689.0;ACTIVE;11;PENDING;;;;2025-12-09T16:54:14.945255;2025-12-09T16:54:15.002174
3;Mads Jensen;0000000000;kunde1@mail.com;11223344;Volkswagen ID3;;;2025-12-15;2026-12-15;4800.0;ACTIVE;17;PENDING;;;;2025-12-11T11:38:58.751548;2025-12-11T11:38:58.804687
4;Louise Sørensen;0000000000;kunde2@mail.com;11223344;Chevrolet;;;2025-11-18;2028-11-18;4000.0;ACTIVE;1;PENDING;;;;2025-12-11T11:39:42.150927;2025-12-11T11:39:42.188120
5;Ali Ahmad;0000000000;kunde3@mail.com;11223344;Kia;;;2025-09-11;2027-09-11;4500.0;ACTIVE;2;PENDING;;;;2025-12-11T11:41:26.681950;2025-12-11T11:41:26.720670
6;Sara Kristensen;0000000000;kunde4@mail.com;11223344;BMW IX;;;2025-12-17;2026-12-17;5500.0;ACTIVE;22;PENDING;;;;2025-12-11T11:42:13.087590;2025-12-11T11:42:13.129840
7;Peter Hansen;;ph@mail.dk;11223344;Land Rover;;;2025-12-04;2027-12-04;6500.0;ACTIVE;4;SKIPPED;;;;2025-12-11T11:43:23.892589;2025-12-11T11:43:23.932914
8;Mads Madsen;;mads@mads.dk;11223344;Tesla;;;2025-12-04;2028-12-04;4207.0;ACTIVE;9;SKIPPED;;;;2025-12-11T11:43:58.618855;2025-12-11T11:43:58.655582
9;Jens Jensen;;Jens@Jens.dk;11223344;Tesla;;;2025-12-04;2027-12-04;6570.0;ACTIVE;13;SKIPPED;;;;2025-12-11T11:44:30.620033;2025-12-11T11:44:30.659064
10;Jens Jensen;;Jens@Jens.dk;11223344;BMW;;;2025-12-04;2027-12-04;4831.0;ACTIVE;7;SKIPPED;;;;2025-12-11T11:44:33.919494;2025-12-11T11:44:33.965244
11;Hans Hansen;;Hans@Hans.dk;11223344;Land Rover;;;2025-12-04;2026-12-04;6197.0;ACTIVE;10;SKIPPED;;;;2025-12-11T11:44:56.331129;2025-12-11T11:44:56.369736
12;Ole Olesen;1212601212;Ole@Ole.dk;11223344;BMW IX3 ;;;2025-12-04;2026-12-04;5300.0;ACTIVE;21;PENDING;;;;2025-12-11T11:45:49.710767;2025-12-11T11:45:49.743651
13;Esben Esbensen;1212601212;Esben@erB.dk;11223344;Smart;;;2025-12-07;2028-12-07;5200.0;ACTIVE;20;PENDING;;;;2025-12-11T11:46:43.005149;2025-12-11T11:46:43.050123
14;Lars Larsen;1212601212;Lars@Lars.dk;11223344;Kia;;;2025-12-07;2026-12-07;7373.0;ACTIVE;8;PENDING;;;;2025-12-11T11:47:11.564164;2025-12-11T11:47:11.604976
15;Lars Larsen;1212601212;Lars@Lars.dk;11223344;Ford;;;2025-12-07;2026-12-07;7264.0;ACTIVE;15;PENDING;;;;2025-12-11T11:47:13.351451;2025-12-11T11:47:13.394867
16;Johan Johansen;1212601212;Johan@erB.dk;11223344;Tesla Model X;;;2025-11-18;2026-11-18;8000.0;ACTIVE;29;PENDING;;;;2025-12-11T11:48:00.106307;2025-12-11T11:48:00.150006
17;Gunner Larsen;1212120000;GL@gl.com;11223344;Ford;;;2024-12-10;2025-12-10;5000.0;ACTIVE;25;PENDING;;;;2025-12-11T12:18:52.002895;2025-12-11T12:18:52.044976
